geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
EIF2S2,0.651577349,1.014953983,1.037761327,1.064868489,1.070794591,1.131667639,0.946632196,0.942515378,0.992872346,1.135822814,1.008799485,1.332110542,inhibition,1
EIF3A,0.675574379,0.695048341,0.718988189,0.811453075,0.911713455,0.964074809,0.802443958,0.750533934,0.851742671,0.802334366,0.882555997,1.00694162,inhibition,1
EIF3B,0.561649196,0.564001422,0.675570361,0.831445626,0.974989144,1.00245072,0.731119745,0.772640815,0.735419942,0.834558368,0.994125456,0.99627999,inhibition,1
EIF3I,0.600179148,0.677124502,0.787874906,0.953174166,0.988552316,1.036589427,0.775897208,0.8138225,0.881137275,0.853182405,0.955180068,0.945531868,inhibition,1
EIF3J,0.576505991,0.706184357,0.759561351,0.903889637,0.996852331,1.054413481,0.888801841,0.943699581,0.878659831,0.861937953,1.020325201,0.956983427,inhibition,1
EIF3K,0.558979032,0.642728972,0.755861474,0.939377964,0.954226183,0.99659707,0.825450608,0.803533022,0.876658758,0.932124366,0.904887948,0.909812376,inhibition,1
EIF3M,0.681422186,0.728484504,0.807917714,0.903358625,0.984644178,0.993159907,0.928976933,0.912366693,0.853900558,0.866605165,0.935167856,1.015551319,inhibition,1
EIF4A3,0.508654836,0.573042386,0.709455448,0.952105628,0.986308622,0.991529997,0.672390174,0.779694103,0.772761546,0.893623838,0.960880461,0.992254108,inhibition,1
EIF4E,0.484564255,0.620192173,0.806844894,0.98380719,1.017966359,1.063035016,0.65347792,0.683139172,0.757799176,0.838023675,0.964897205,1.029383332,inhibition,1
EIF4G1,0.576648661,0.663467417,0.744426116,0.86068864,0.907823153,0.962947981,0.618196365,0.722155977,0.727243127,0.909069791,0.967406011,0.99546365,inhibition,1
EIF5,0.593686755,0.639372923,0.762047344,0.947335386,1.08149149,1.110900803,0.644615183,0.6806785,0.791552355,0.751181076,1.090083779,0.943185945,inhibition,1
EIF5A,0.417000526,0.549172323,0.725909491,0.886942277,1.032922279,1.034278216,0.654305676,0.723530881,0.83806604,0.903749237,0.949637998,0.96546907,inhibition,1
EIF5B,0.444067537,0.546227151,0.731018478,0.926362941,0.963311651,0.977765997,0.645149441,0.69458882,0.73977919,0.804849585,0.932820995,0.993180241,inhibition,1
EIF6,0.561282248,0.580427794,0.661286843,0.864284149,0.998699497,1.000718315,0.749980036,0.764643028,0.798102775,0.924835606,1.002905673,0.970052766,inhibition,1
