,geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
1248,NTHL1,0.427160555,0.500472495,0.593544215,0.638378055,0.818029502,0.850483351,0.717256805,0.777549738,1.003447683,0.806961317,0.926868045,0.898329919,inhibition,1
1249,NTMT1,0.48010285,0.604812664,0.713210175,0.859262873,0.922179475,1.060708918,0.672268598,0.761544787,0.790591706,1.080195343,0.919047577,1.064430429,inhibition,1
1250,NUCKS1,0.598204285,0.855939069,0.940291858,1.019896314,1.071346833,1.109449466,0.843368897,1.01313721,0.940185966,0.799542129,1.02933416,0.942684189,inhibition,1
1251,NUDC,0.438068718,0.46095241,0.66682883,0.845731842,0.904346115,0.935242916,0.611039508,0.590640947,0.74934451,0.885907133,0.937147684,0.877942112,inhibition,1
1252,NUDCD1,0.403904667,0.530981489,0.725544556,0.89453778,0.910804314,1.003598832,0.606956958,0.775468157,0.810532266,0.929713014,0.837878951,1.001990293,inhibition,1
1253,NUDT15,0.248334582,0.434750966,0.629254793,0.777462689,0.988832992,1.03608871,0.59929631,0.706125807,0.797087848,0.729771541,1.015729214,0.911661544,inhibition,1
1254,NUDT16,0.639583931,0.651923885,0.681111518,0.686035716,0.852736841,0.922350067,0.761413195,0.823031571,0.986164485,0.681649892,0.844320747,0.893079074,inhibition,1
1255,NUDT19,0.488193045,0.623201914,0.675501294,0.71912025,0.964936987,1.046044116,0.74030998,0.780817673,0.736311731,0.68917073,0.996222056,0.885464108,inhibition,1
1256,NUDT21,0.665902632,0.826929682,0.920033012,0.988414725,1.034419893,1.049332553,0.90426691,1.002255871,0.925674202,1.024105708,0.838316767,0.940476768,inhibition,1
1257,NUDT5,0.657562981,0.67043128,0.889287404,0.945990001,0.988862585,1.044591152,0.900111569,0.860852525,0.959930284,0.928809518,0.945525347,0.977305635,inhibition,1
1258,NUFIP1,0.372841123,0.380153197,0.513080927,0.671600651,0.856066303,0.876818382,0.670782558,0.627341141,0.572189889,0.654889777,0.863563782,0.895046874,inhibition,1
1259,NUP107,0.532622713,0.796916896,0.852663663,0.906385013,0.907362319,0.953088691,0.696311036,0.842590567,0.885061728,0.860606434,0.983352615,0.977967952,inhibition,1
1260,NUP153,0.619602198,0.694655703,0.801571924,0.967943077,1.065599396,1.095450875,0.816909383,0.769624642,0.870461265,0.888052754,1.132684598,1.14448198,inhibition,1
1261,NUP155,0.39741974,0.557550128,0.787937159,0.943798644,0.999537568,1.162037013,0.68079749,0.717791302,0.793027873,0.84848696,1.005462069,1.124950194,inhibition,1
1262,NUP188,0.395929163,0.448202101,0.735774838,0.890443627,0.949603452,0.965201737,0.605581078,0.570934473,0.759631664,0.872653262,0.945343911,0.966525438,inhibition,1
1263,NUP205,0.56372539,0.717296969,0.954588158,1.039906937,1.051827117,1.063494511,0.819357489,0.821929272,0.938581109,0.940904055,1.029672325,1.049322565,inhibition,1
1264,NUP210,0.231518192,0.525095018,0.801231809,0.863840659,0.885333433,0.936367123,0.627154789,0.654228297,0.811622209,1.006896134,1.087985803,0.978280638,inhibition,1
1265,NUP35,0.398657415,0.544674711,0.7279962,0.752330612,0.858945953,0.976100322,0.659179956,0.739184723,0.863255039,0.757756801,0.876707665,0.962609921,inhibition,1
1266,NUP37,0.482248758,0.680019535,0.837661491,0.966301145,0.998769373,1.010315107,0.680836465,0.808662119,0.906398177,0.942579473,0.962528459,0.913139977,inhibition,1
1267,NUP43,0.54846246,0.659020742,0.823876476,0.916370658,0.947145623,0.995723704,0.781311959,0.813253655,0.823826366,0.769091824,0.923402978,0.990268911,inhibition,1
1268,NUP54,0.659972425,0.816038104,0.848999784,0.944167352,1.047948729,1.063163814,0.884079426,0.927714814,0.883116059,0.830356665,1.086811795,0.985304379,inhibition,1
1269,NUP62,0.523338346,0.58017836,0.651012078,0.739981874,0.87385928,0.876419428,0.616828097,0.775294332,0.724721745,0.852611227,0.920556031,0.944306787,inhibition,1
1270,NUP85,0.597303101,0.710726803,0.878894926,0.983477178,1.000418243,1.042186813,0.705751608,0.710099962,0.887948386,1.090682638,1.00822198,1.065218273,inhibition,1
1271,NUP88,0.511887353,0.680181693,0.812771351,0.967460367,1.075910186,1.088082031,0.781521934,0.869796326,0.891281436,0.892420692,1.055956081,1.096243218,inhibition,1
1272,NUP93,0.449034747,0.605287582,0.789574934,0.89979813,0.967593276,1.026405431,0.5573722,0.646830388,0.83170879,0.828261334,1.014806189,1.022319197,inhibition,1
1273,NUP98,0.559421273,0.619604895,0.713426384,0.894609369,0.992038363,1.016030858,0.758784998,0.725366042,0.801239223,0.857705803,1.003826866,1.011185985,inhibition,1
1274,NUSAP1,0.370305267,0.715916377,0.927000839,0.949755774,0.967695603,1.020726962,0.406033639,0.812805154,0.969673433,0.930559682,0.941284145,0.960491604,inhibition,1
1275,NXN,0.541358016,0.60497288,0.724388504,0.899901557,0.916938899,1.048967868,0.744638357,0.777997378,0.882970522,0.939737109,0.928497316,1.076376011,inhibition,1
